,x_fit,y_fit
0,0.1700680272108843,-0.9656115264681898
1,0.1844314973786524,-0.9402414020669487
2,0.2000080660849514,-0.913691761327786
3,0.21690018824123364,-0.8860153806288179
4,0.23521897181436874,-0.8572809129675599
5,0.25508490863951544,-0.8275729272774781
6,0.27662866695540567,-0.7969914972020672
7,0.2999919508749426,-0.7656513091600836
8,0.3253284324442838,-0.7336802822585395
9,0.3528047624210283,-0.7012177185209737
10,0.3826016664199043,-0.6684120291033432
11,0.4149151336358569,-0.6354181084033202
12,0.44995770596336565,-0.602394450841572
13,0.48795987599117524,-0.5695001223880507
14,0.5291716030677536,-0.5368917088735431
15,0.5738639574094004,-0.5047203647330122
16,0.6223309030651312,-0.473129078904418
17,0.6748912314657896,-0.44225025987653754
18,0.7318906582753146,-0.4122037208483179
19,0.7937040973362037,-0.38309512070635476
20,0.8607381266660521,-0.35501488940717196
21,0.9334336627252672,-0.3280376397110861
22,1.012268860545959,-0.3022220431114706
23,1.0977622587976086,-0.27761112780769603
24,1.1904761904761905,-0.2542329416582527
25,1.291020481650567,-0.23210151359031195
26,1.4000564625946603,-0.21121804275708356
27,1.5183013176886362,-0.19157224522364902
28,1.6465328027005817,-0.1731437922449015
29,1.7855943604766091,-0.1559037812616375
30,1.93640066868784,-0.1398161895622927
31,2.099943656124599,-0.12483927020821639
32,2.2772990271099873,-0.11092685952240866
33,2.4696333369471986,-0.09802957460047623
34,2.6782116649393313,-0.08609588750907493
35,2.9044059354509995,-0.0750730698518629
36,3.14970394174356,-0.06490800710879085
37,3.415719131938228,-0.05554788660393606
38,3.704201221474276,-0.04694076621986576
39,4.0170477018658035,-0.03903603319069937
40,4.35631632145592,-0.031784763633680546
41,4.724238620260528,-0.025139994087902018
42,5.123234607927204,-0.019056916379320832
43,5.555928681353429,-0.013493006768366733
44,6.025166886662366,-0.008408099685383474
45,6.534035639076872,-0.0037644155236873367
46,7.085882023821717,0.0004734489769488981
47,7.684335811583262,0.004338560198316355
48,8.333333333333332,0.007861710370678177
